project_name,project_desc,offer_desc
cari situation,Product received for free. Very Nice,Christopher Glenn
cari president,,John Sosa
tutor if,A very fun and unique premise. Surprisingly competitive.,Karen Chung MD
tutor just,rather get cancer,Michael Hayden
joki those,Pretty solid game. Price point is really affordable fun mechanics big vareity of guns and alot of combat with a downside of some bugs. Would give a solid 4/5,Robert Christensen
joki push,Es un juego que te volves adicto cuando sovrevivis tu primer juego.Me paso que lo baje en la semana que estaba gratis y lo desinstale.Cambie de parecer y lo volvi a bajar y ahi me atrapo es un juego que hay que darle una hora para que te atrape.,Lawrence Delgado
cari top,,William Ramirez
joki whether,ing Sucks!,David Ramirez
joki design,,Kevin Anderson
cari forward,,Robert Mckee
joki middle,I love this game on the phone but on the computer THE GAME SUCKS!!!!! On the phone your minimap indicates to where the direction of sound is coming from. on computer THERE IS NO INDICATION! I hear a gunshot then I am looking everywhere trying to see where the hell it came from just to get shot again! is it a joke or am I the only one to notice this? Good God this is an irritating haddicap! I ususually get at least 2(3 to 4 on good days) kills a game and always end up in the top 10%. on computer I have had the game running just a few days with its beutifull graphics and physics I have been nothing but a friggin target. Screw this peice of S #!,Lisa Davis
joki design,,Barbara Foster
cari fear,The trailer is complete t the moment I spawned I got gangbanged by six nakeds teamed up and I died... By torches.,Gary Patton
tutor carry,The most advanced PC game GTA 5 is a 64 bit game DX11 4K multi threaded multi core it has the biggest map the most vehicles a lot of guns a lot of missions high quality The best game of 2015,Cheryl Anderson
tutor his,Great game great graphics and gameplay... A few griefers on online other than that its a lot of grinding and greatTotally Reccomend this game,Angela Vazquez
tutor study,没使用外挂还能封号还玩什么,Julian Stewart
tutor point,ballislife ),Brandon Hernandez
tutor entire,Haven't touched GTA in a while but still had it installed soon changed after I saw what your company was doing to people that helped boost your sales in free advertisement. Suppose that kind of thing doesn't matter now though uninstalled and won't be playing on any platform until you remove your heads from your asses.,Vicki Armstrong
tutor modern,,Stephanie Woods
cari tell,ye it good,James Townsend
joki since,,Tasha Ramirez
joki board,,James Ross
joki positive,,Darlene Townsend
joki be,0/10 i want to have in game sex with ben.,Russell Rowe
joki career,,Brittney Parks
joki reveal,,Timothy Lyons
joki suddenly,,John Garrett
joki game,it's good.,Stephanie Oconnell
cari job,,Kayla Simmons
cari player,good,Edwin Jones
tutor record,"You know why this review is negative.Do not buy this game until Take2 learns their lesson and ""legalizes"" modding again.",Joseph Johnson
tutor maybe,,Brian Hansen
joki reflect,harvest suppliesbuild basebuild equipmentlog offlog on been raidedrepeat,Angelica Carroll
tutor knowledge,Product received for free. i love this online its too much time pass,Miranda Martinez
joki this,"RUST ""Yes you have to remember to eat in real life also"".",Charles Stone
tutor course,,Joshua Sharp
joki every,,Maria Russell
cari city,,Valerie Richards
cari into,This game is great. Its easy to pick up but difficult to master so it keeps you coming back to play more.,Amanda Smith
cari tree,Not all chinese are cheaters but have to admit lots of cheaters are chinese i m a chinese player i also have many foreign friends many times me and my teammates were killed by cheaters i dont want to see thoso guys destory this game maybe region lock China is a right solution.Anyway NOT ALL CHINESE ARE CHEATERS please be friendly to a chinese player if he is not a cheater thank you.#Region Lock China,April Jackson
joki president,,Kent Wright
joki which,"With the latest Openiv ban i think this game Online wise will get bettersingle player. well boring.Update with recent proceedingspeople believe their ing has changed take two's mind even though there we're legal processes that took place and they came toa solution of ceasing the mod that caused this drama ""porting liberty city into GTAV""funny how the internet works people think gave devs will look at their client and listen if they'd do that they make single player dlc non hyper expensive dlc items aswell as fixing the biggest problem they've had for years.gotta love the internet.",Jessica Bailey
tutor side,Game is pretty good not very scary but suspenseful. Would reccomend 9/10. Some killers and players are fat and meanies and still some small bugs.,Sabrina Cortez
joki policy,Awesome,Mark Mckenzie
tutor know,THIS GAMES SICK WOULD RECOMMEND,Toni Serrano
cari build,IN GOOD,Emma Nguyen
joki party,Holy 600h already?Buy it.10/10,Debra Gomez
tutor six,It's allright I guess. Played it twice. Quite fun.,Jessica Frost
cari nice,game constantly crashing when joining a lobby and starting game ever since latest update/patch was released,Virginia Brown
joki however,Rockstar can suck my absolutely no support for those who cannot play the game because of their perma link to steam accounts... so if you bought the game on a different account not activated to steam rockstar will take outs its big willy and shuv it down your throat and make you wait 1 month to answer a ticket that will probably not help. Because giving the power of unlinking your steam account to the customer is too much to handle and would give them a god complex. YOU ruined my day/week.,Jessica Hester
joki my,,Mark Brown
joki rather,,Emily Jackson
tutor agent,,Suzanne Garcia
tutor public,,Nicholas Welch
joki lay,Recommended if you have the time.,Bridget Smith
cari real,It's a really good game! Recomand!,Jamie Mcneil
tutor themselves,,Michael Moore
tutor like,Good and interesting game but still no fix for game,Derek Murray
joki fill,THANKS DEV.. GARBAGE OPTIMIZE THE GAME...FAIL ....,Bryan Wells
tutor experience,.,Katrina Garner
tutor mind,,Justin Murray
joki left,You gotta check out this gaem good memes,Robert Jacobs
joki under,,Douglas Freeman
cari notice,,Erika Robbins
joki memory,make sure you ask for a headcount of Chinese hackers when you enter a lobby,Michael Hawkins
joki seven,Rocket League is a fun and exciting game and is definitly more enjoyable with friends. only bad thing is that they dont realease more free stuff to unlock much. so you can unlock everything really quickly which sucks as it is fun unlocking more and more stuff as you go. And you cant play cross platform in a private match aswell (Which Sucks) definitly worth the money 8/10,Jessica Elliott
joki peace,,Michelle Lee
tutor best,,Austin Cantu
tutor should,A great game even though it is still in early access. But at this moment some players are already cheating hope the devs make solution about it or else it will be the reason some player getting bored again playing this game.,Kimberly Pitts
tutor show,Too much hackers after the sanhok patch.Edit They Have fixed the hacker issue on a pretty good way after the BattleEye notice popped up. GJ!,Ryan Swanson
joki imagine,,Christopher Mitchell
tutor American,great game hard to get good at but fun,Calvin Maldonado
tutor dream,,Logan Key
tutor term,,Brianna Nelson MD
joki us,,Isaac Lewis
joki no,,Susan Walker
joki continue,,Angela Walsh
